order,y_coordinate,x_coordinate,r,g,b,UK_colors,RU_colors
15,9,13,228,236,142,"['Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Yellow', 'Green', 'Yellow', 'Green', 'Beige', 'Green', 'Beige', 'Green', 'Green']","['Зеленый', 'Бежевый', 'Желтый', 'Желтый', 'Бирюзовый', 'Желтый', 'Желтый', 'Желтый', 'Зеленый', 'Желтый', 'Желтый', 'Бежевый', 'Желтый']"
16,9,14,223,236,172,"['Gray', 'Green', 'Green', 'Beige', 'Green', 'Green', 'Green', 'Green', 'Beige', 'Green', 'Yellow', 'Yellow', 'Gray', 'Silver', 'Green', 'Beige', 'Green', 'Yellow', 'Yellow', 'Orange']","['Зеленый', 'Бежевый', 'Бежевый', 'Зеленый', 'Бежевый', 'Бирюзовый', 'Бежевый', 'Бирюзовый', 'Желтый', 'Зеленый', 'Желтый']"
17,9,15,219,235,204,"['Beige', 'Green', 'Beige', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Beige', 'Green', 'Blue', 'Blue', 'Silver', 'Green', 'Green', 'Silver', 'Green']","['Голубой', 'Серый', 'Зеленый', 'Зеленый', 'Серый', 'Зеленый', 'Зеленый', 'Серый', 'Зеленый', 'Зеленый', 'Серый']"
18,9,16,213,236,209,"['Green', 'Green', 'Pink', 'Green', 'Green', 'Blue', 'Green', 'Gray', 'Green', 'Green', 'Green', 'Green', 'Green', 'Silver', 'Green', 'Green', 'Green', 'Silver', 'Green']","['Голубой', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Зеленый']"
19,9,17,209,236,214,"['Gray', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Blue', 'Turquoise', 'Green', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Green', 'Green', 'Green']","['Бирюзовый', 'Голубой', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Серый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
20,9,18,207,237,219,"['Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Blue', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Blue', 'Blue', 'Blue', 'Green', 'Green', 'Green']","['Голубой', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Зеленый']"
21,9,19,205,237,222,"['Turquoise', 'Blue', 'Green', 'Green', 'Blue', 'Blue', 'Green', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Gray', 'Turquoise', 'Blue', 'Green', 'Blue', 'Green', 'Green', 'Green']","['Бирюзовый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Голубой', 'Голубой', 'Зеленый', 'Серый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Голубой', 'Бирюзовый']"
22,9,20,204,237,224,"['Green', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Turquoise', 'Green', 'Blue', 'Green', 'Green', 'Gray', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Gray']","['Голубой', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Бежевый', 'Зеленый', 'Бирюзовый', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Бирюзовый']"
23,9,21,204,237,227,"['Blue', 'Gray', 'Turquoise', 'Blue', 'Green', 'Blue', 'Blue', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Green', 'Blue', 'Blue', 'Blue', 'Green', 'Silver']","['Голубой', 'Зеленый', 'Голубой', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Зеленый', 'Бирюзовый', 'Зеленый']"
24,9,22,204,236,230,"['Blue', 'Blue', 'Blue', 'Orange', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue']","['Зеленый', 'Голубой', 'Зеленый', 'Бирюзовый', 'Белый', 'Бирюзовый', 'Голубой', 'Серый', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
25,9,23,204,236,233,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Green', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
26,9,24,206,235,235,"['Turquoise', 'Turquoise', 'Gray', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Green', 'Blue', 'Silver', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой']"
27,9,25,208,234,238,"['Turquoise', 'Pink', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Серый', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
28,9,26,211,234,239,"['Blue', 'Blue', 'Pink', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Gray', 'Blue', 'Turquoise', 'Gray', 'Turquoise', 'Silver', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
29,9,27,214,233,239,"['Gray', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Silver', 'Blue', 'Blue', 'Beige', 'Blue', 'Blue', 'Silver', 'Blue', 'Blue', 'Silver', 'Blue', 'Blue']","['Голубой', 'Серый', 'Серый', 'Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Серый', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
30,9,28,217,232,240,"['Silver', 'Blue', 'Gray', 'Blue', 'Blue', 'Blue', 'Blue', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Silver', 'Gray', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Серый', 'Серый', 'Лиловый', 'Белый', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой']"
31,9,29,221,231,240,"['Silver', 'Blue', 'Blue', 'Blue', 'Silver', 'Gray', 'Gray', 'Silver', 'Gray', 'Silver', 'Gray', 'Blue', 'Blue', 'Blue', 'Silver', 'Silver', 'Gray', 'Silver', 'Blue']","['Голубой', 'Серый', 'Голубой', 'Белый', 'Серый', 'Фиолетовый', 'Белый', 'Серый', 'Голубой', 'Голубой', 'Серый', 'Серый']"
32,9,30,223,230,240,"['Silver', 'Blue', 'Purple', 'Silver', 'Blue', 'Gray', 'Gray', 'Purple', 'Gray', 'Silver', 'Gray', 'Blue', 'Blue', 'Blue', 'Silver', 'Blue', 'Gray', 'Gray', 'Gray', 'Silver']","['Голубой', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Лиловый', 'Голубой']"
33,9,31,227,229,240,"['Silver', 'Silver', 'Silver', 'Blue', 'Silver', 'Silver', 'Blue', 'Silver', 'Gray', 'Gray', 'Gray', 'Silver', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Gray', 'Silver']","['Голубой', 'Серый', 'Бирюзовый', 'Голубой', 'Белый', 'Серый', 'Лиловый', 'Серый', 'Лиловый', 'Лиловый', 'Серый', 'Голубой']"
34,9,32,229,228,239,"['Silver', 'Purple', 'Silver', 'Gray', 'Gray', 'Gray', 'Gray', 'Silver', 'Gray', 'Gray', 'Silver', 'Blue', 'Silver', 'Gray', 'Purple', 'Purple', 'Purple', 'Silver', 'Silver']","['Серый', 'Фиолетовый', 'Бежевый', 'Бежевый', 'Фиолетовый', 'Белый', 'Серый', 'Серый', 'Голубой', 'Розовый', 'Серый']"
35,9,33,231,228,239,"['Silver', 'Silver', 'Gray', 'Purple', 'Silver', 'Silver', 'Purple', 'Purple', 'Gray', 'Purple', 'Silver', 'Blue', 'Silver', 'Purple', 'Pink', 'Gray', 'Silver', 'Gray', 'Purple']","['Серый', 'Серый', 'Белый', 'Голубой', 'Голубой', 'Лиловый', 'Белый', 'Лиловый', 'Белый', 'Белый', 'Серый', 'Серый', 'Розовый']"
36,9,34,232,228,238,"['Gray', 'Purple', 'Purple', 'Gray', 'Gray', 'Turquoise', 'Silver', 'Purple', 'Silver', 'Gray', 'Gray', 'Silver', 'Purple', 'Gray', 'Purple', 'Purple', 'Gray', 'Silver', 'Purple']","['Серый', 'Фиолетовый', 'Белый', 'Серый', 'Серый', 'Серый', 'Белый', 'Лиловый', 'Лиловый', 'Лиловый', 'Голубой', 'Голубой', 'Розовый']"
37,9,35,236,227,235,"['Pink', 'Silver', 'Silver', 'Silver', 'Purple', 'Pink', 'Gray', 'Purple', 'Pink', 'Gray', 'Gray', 'Silver', 'Pink', 'Pink', 'Pink', 'Blue', 'Purple', 'Pink', 'Pink', 'Purple']","['Белый', 'Лиловый', 'Розовый', 'Лиловый', 'Серый', 'Лиловый', 'Белый', 'Серый', 'Серый', 'Лиловый', 'Розовый', 'Лиловый']"
38,9,36,237,227,233,"['Purple', 'Silver', 'Gray', 'Beige', 'Pink', 'Beige', 'Gray', 'Purple', 'Purple', 'Pink', 'Pink', 'Purple', 'Purple', 'Silver', 'Purple', 'Pink', 'Pink', 'Pink', 'Purple']","['Белый', 'Фиолетовый', 'Розовый', 'Белый', 'Лиловый', 'Бежевый', 'Белый', 'Розовый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый']"
39,9,37,238,226,232,"['Gray', 'Beige', 'Pink', 'Pink', 'Pink', 'Gray', 'Beige', 'Pink', 'Pink', 'Gray', 'Gray', 'Purple', 'Gray', 'Pink', 'Silver', 'Silver', 'Pink', 'Pink', 'Gray']","['Серый', 'Серый', 'Розовый', 'Белый', 'Бежевый', 'Розовый', 'Лиловый', 'Белый', 'Бежевый', 'Розовый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый']"
40,9,38,240,226,230,"['Pink', 'Silver', 'Beige', 'Pink', 'Pink', 'Beige', 'Beige', 'Silver', 'Pink', 'Pink', 'Pink', 'Silver', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Бежевый', 'Розовый', 'Серый', 'Розовый', 'Бежевый', 'Бежевый', 'Серый', 'Розовый', 'Лиловый', 'Белый', 'Розовый']"
41,9,39,241,226,228,"['Silver', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Silver', 'Pink', 'Gray', 'Pink', 'Beige', 'Silver', 'Purple', 'Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink']","['Лиловый', 'Белый', 'Бежевый', 'Розовый', 'Бежевый', 'Серый', 'Розовый', 'Розовый', 'Белый', 'Розовый', 'Розовый', 'Розовый']"
42,9,40,241,226,227,"['Pink', 'Pink', 'Pink', 'Silver', 'Gray', 'Gray', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Beige', 'Beige', 'Silver', 'Pink', 'Pink', 'Pink']","['Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Розовый', 'Бежевый', 'Серый', 'Розовый', 'Розовый', 'Розовый']"
43,8,0,202,202,202,"['Gray', 'Gray', 'Gray', 'Gray', 'Silver', 'Gray', 'Gray', 'Purple', 'Gray', 'Gray', 'Gray', 'Blue', 'Silver', 'Silver', 'Gray', 'Gray', 'Gray', 'Silver', 'Gray']","['Серый', 'Фиолетовый', 'Серый', 'Белый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый']"
44,8,1,251,186,185,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
45,8,2,253,186,179,"['Pink', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
46,8,3,254,186,171,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Оранжевый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Оранжевый', 'Розовый', 'Розовый']"
47,8,4,254,187,161,"['Beige', 'Pink', 'Beige', 'Pink', 'Pink', 'Beige', 'Orange', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Оранжевый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый', 'Оранжевый', 'Бежевый', 'Бежевый']"
48,8,5,252,188,153,"['Beige', 'Orange', 'Pink', 'Pink', 'Orange', 'Orange', 'Pink', 'Blue', 'Pink', 'Orange', 'Pink', 'Pink', 'Orange', 'Pink', 'Orange', 'Orange', 'Beige', 'Orange']","['Розовый', 'Бежевый', 'Оранжевый', 'Розовый', 'Оранжевый', 'Оранжевый', 'Бежевый', 'Бежевый', 'Оранжевый', 'Розовый', 'Бежевый', 'Оранжевый']"
49,8,6,248,191,145,"['Beige', 'Orange', 'Beige', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Beige', 'Beige', 'Pink', 'Pink', 'Pink', 'Beige', 'Orange', 'Orange', 'Beige', 'Orange', 'Beige']","['Розовый', 'Розовый', 'Бежевый', 'Оранжевый', 'Оранжевый', 'Желтый', 'Желтый', 'Оранжевый', 'Бежевый', 'Оранжевый', 'Бежевый', 'Коричневый', 'Оранжевый']"
50,8,7,254,190,114,"['Orange', 'Yellow', 'Orange', 'Orange', 'Beige', 'Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Gold', 'Orange', 'Brown', 'Beige', 'Beige', 'Orange', 'Beige', 'Beige', 'Beige', 'Orange']","['Желтый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Желтый', 'Бежевый', 'Бежевый', 'Бежевый', 'Оранжевый', 'Желтый', 'Бежевый', 'Оранжевый']"
51,8,8,255,189,0,"['Yellow', 'Gold', 'Orange', 'Yellow', 'Yellow', 'Orange', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Orange', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow']","['Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Оранжевый', 'Желтый', 'Оранжевый', 'Желтый', 'Желтый', 'Желтый', 'Оранжевый', 'Оранжевый']"
52,8,9,254,194,0,"['Yellow', 'Silver', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Orange', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Yellow']","['Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
53,8,10,237,200,0,"['Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow']","['Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
54,8,11,223,205,0,"['Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Green', 'Yellow', 'Gold', 'Green', 'Yellow']","['Зеленый', 'Зеленый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
55,8,12,213,208,0,"['Yellow', 'Yellow', 'Yellow', 'Gold', 'Green', 'Green', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Green', 'Green', 'Yellow', 'Gold', 'Gold', 'Green', 'Yellow', 'Yellow']","['Желтый', 'Зеленый', 'Желтый', 'Зеленый', 'Желтый', 'Желтый', 'Желтый', 'Бирюзовый', 'Желтый', 'Желтый', 'Желтый']"
56,8,13,197,213,0,"['Yellow', 'Green', 'Yellow', 'Green', 'Green', 'Green', 'Green', 'Green', 'Blue', 'Green', 'Green', 'Green', 'Green', 'Gold', 'Green', 'Green', 'Green', 'Yellow', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Желтый', 'Желтый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Желтый']"
57,8,14,182,215,68,"['Yellow', 'Green', 'Gold', 'Yellow', 'Green', 'Yellow', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Yellow', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
58,8,15,156,220,94,"['Orange', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
59,8,16,147,220,136,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green']","['Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
60,8,17,127,222,156,"['Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green']","['Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
61,8,18,137,219,178,"['Blue', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Blue', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Green', 'Green', 'Green', 'Green', 'Blue', 'Turquoise']","['Зеленый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Бежевый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Зеленый']"
62,8,19,133,219,185,"['Turquoise', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Turquoise', 'Blue', 'Green', 'Blue', 'Green', 'Green', 'Green', 'Turquoise', 'Turquoise']","['Бирюзовый', 'Голубой', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Бежевый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Зеленый']"
